# pllbench: one engine per process, 20s wall cap each; process startup ~50ms (identical for both engines, NOT subtracted)
id	class	formula	frjw	frjw_ms	g4c	g4c_ms	note
102	2v ◯3	◯◯(◯p ∨ q) ⊃ ◯(◯p ∨ q)	valid	1131	valid	60	
103	2v ◯3	◯(◯(◯p ∧ q) ⊃ q) ⊃ ◯q	invalid	10805	invalid	57	
104	2v ◯3	(◯◯◯p ∧ ◯◯q) ⊃ ◯◯(◯p ∧ q)	timeout	20066	valid	56	g4c decided, frjw did not
105	2v ◯3	◯◯(p ⊃ q) ⊃ (◯◯p ⊃ ◯◯q)	timeout	20027	valid	57	g4c decided, frjw did not
106	2v ◯4	◯◯◯◯p ⊃ ◯◯p	valid	54	valid	54	
107	2v ◯4	◯◯(◯◯p ∨ ◯◯q) ⊃ (◯◯p ∨ ◯◯q)	timeout	20069	invalid	19517	g4c decided, frjw did not
108	2v ⊃4	(((p ⊃ q) ⊃ p) ⊃ p) ⊃ (((q ⊃ p) ⊃ q) ⊃ q)	invalid	9496	invalid	55	
109	2v ⊃4	((((p ⊃ q) ⊃ q) ⊃ p) ⊃ p)	invalid	61	invalid	53	
110	2v ⊃4	((((◯p ⊃ q) ⊃ q) ⊃ ◯p) ⊃ ◯p)	invalid	295	invalid	55	
111	2v ⊃4	(((◯p ⊃ ◯q) ⊃ ◯p) ⊃ ◯p) ⊃ (◯p ∨ ¬◯p)	timeout	20030	invalid	54	g4c decided, frjw did not
112	2v ⊃4	((p ⊃ q) ⊃ (q ⊃ r)) ⊃ ((p ⊃ q) ⊃ (p ⊃ r))	timeout	21054	valid	59	g4c decided, frjw did not
113	2v ⊃4	(¬¬(p ∨ ¬p)) ⊃ ((p ⊃ q) ∨ (q ⊃ p))	invalid	13798	invalid	56	
114	3v ◯1	(◯p ∧ (q ∨ r)) ⊃ ((◯p ∧ q) ∨ (◯p ∧ r))	valid	15527	valid	62	
115	3v ◯1	((p ∨ q) ⊃ r) ⊃ ((p ⊃ r) ∧ (q ⊃ r))	valid	2846	valid	57	
116	3v ◯1	((p ⊃ r) ∧ (q ⊃ r)) ⊃ ((p ∨ q) ⊃ r)	valid	112	valid	59	
117	3v ◯2	(◯(p ∨ q) ∧ (p ⊃ r) ∧ (q ⊃ r)) ⊃ ◯r	valid	766	valid	60	
118	3v ◯2	◯(p ⊃ (q ⊃ r)) ⊃ (◯p ⊃ (◯q ⊃ ◯r))	timeout	20034	valid	61	g4c decided, frjw did not
119	3v ◯2	(◯◯p ∨ ◯q ∨ r) ⊃ ◯(◯p ∨ q ∨ r)	timeout	20031	valid	62	g4c decided, frjw did not
120	3v ◯2	◯((p ∧ q) ∨ (q ∧ r) ∨ (r ∧ p)) ⊃ (◯p ∨ ◯q ∨ ◯r)	timeout	20029	don't-know	63	g4c decided, frjw did not
121	3v ⊃3	(p ⊃ (q ⊃ r)) ⊃ ((p ∧ q) ⊃ r)	valid	62	valid	56	
122	3v ⊃3	((p ∧ q) ⊃ r) ⊃ (p ⊃ (q ⊃ r))	valid	161	valid	60	
123	3v ⊃3	((◯p ⊃ q) ⊃ r) ⊃ ((q ⊃ r) ⊃ (◯p ⊃ r))	timeout	20031	invalid	56	g4c decided, frjw did not
124	2v lax	((p ⊃ ◯q) ∧ (q ⊃ ◯r)) ⊃ (p ⊃ ◯r)	timeout	20027	valid	59	g4c decided, frjw did not
125	3v lax	((p ⊃ ◯q) ∧ (q ⊃ ◯r)) ⊃ (◯p ⊃ ◯r)	timeout	20028	valid	62	g4c decided, frjw did not
126	2v lax	◯(◯p ⊃ ◯q) ⊃ (◯p ⊃ ◯q)	valid	19917	valid	60	
127	2v lax	(◯p ⊃ ◯q) ⊃ ◯(◯p ⊃ ◯q)	valid	8430	valid	56	
128	2v lax	◯(p ∧ ◯q) ⊃ (◯p ∧ ◯q)	valid	691	valid	54	
129	2v lax	(◯p ∧ ◯◯q) ⊃ ◯(p ∧ ◯q)	timeout	20025	valid	57	g4c decided, frjw did not
